Timestamp,AvgCell(V),Voltage(V),Current(A),Power(W),Capacity(mAh)
[00:41:12.710],3.52,21.14,3.28,69.35,1008
[00:41:12.912],3.50,21.01,4.46,93.75,1009
[00:41:13.115],3.52,21.12,3.41,71.91,1009
[00:41:13.318],3.50,21.02,4.40,92.35,1009
[00:41:13.520],3.52,21.14,3.23,68.34,1009
[00:41:13.718],3.52,21.14,4.52,95.00,1009
[00:41:14.123],3.52,21.09,3.68,77.55,1010
[00:41:14.324],3.50,21.00,4.59,96.35,1010
[00:41:14.528],3.51,21.07,3.93,82.67,1010
[00:41:15.423],3.51,21.03,4.25,89.37,1011
[00:41:16.280],3.51,21.06,3.84,80.94,1012
[00:41:16.547],3.50,21.00,4.52,94.89,1013
[00:41:16.750],3.52,21.10,3.51,74.13,1013
[00:41:16.951],3.50,20.99,4.56,95.67,1013
[00:41:17.148],3.50,20.99,3.50,95.67,1013
[00:41:17.351],3.49,20.97,4.82,101.14,1014
[00:41:17.555],3.51,21.06,3.80,80.06,1014
[00:41:17.758],3.52,21.14,3.04,64.33,1014
[00:41:17.960],3.50,21.01,4.45,93.39,1014
[00:41:18.365],3.51,21.07,3.79,79.85,1015
[00:41:18.562],3.51,21.07,4.52,94.85,1015
[00:41:18.966],3.51,21.04,3.40,71.77,1015
[00:41:19.775],3.50,20.97,4.67,98.01,1016
[00:41:19.977],3.51,21.08,3.58,75.49,1016
[00:41:20.586],3.50,21.03,4.12,86.56,1017
[00:41:21.187],3.50,20.99,4.64,97.35,1018
[00:41:21.390],3.52,21.11,3.30,69.75,1018
[00:41:21.593],3.50,20.99,4.39,92.15,1018
[00:41:21.998],3.51,21.09,3.54,74.61,1019
[00:41:22.200],3.50,21.02,4.14,86.95,1019
[00:41:22.600],3.50,20.98,3.44,72.50,1019
[00:41:22.803],3.50,21.02,4.09,85.89,1020
[00:41:23.006],3.49,20.95,4.82,100.87,1020
[00:41:23.208],3.51,21.07,3.60,75.86,1020
[00:41:23.410],3.50,20.97,4.60,96.44,1020
[00:41:23.613],3.51,21.05,3.75,78.89,1021
[00:41:23.810],3.51,21.05,4.50,78.89,1021
[00:41:24.215],3.51,21.03,3.98,83.76,1021
[00:41:24.418],3.49,20.96,4.69,98.28,1022
[00:41:24.620],3.51,21.08,3.45,72.77,1022
[00:41:24.822],3.50,20.99,4.37,91.68,1022
[00:41:25.663],3.50,21.00,4.30,90.36,1023
[00:41:26.512],3.50,21.00,4.28,89.92,1024
[00:41:27.359],3.50,20.99,4.26,89.54,1025
[00:41:28.207],3.50,20.99,4.24,88.93,1026
[00:41:29.065],3.50,21.00,4.21,88.46,1027
[00:41:29.951],3.50,21.02,3.90,82.05,1028
[00:41:30.072],3.51,21.08,3.35,70.61,1028
[00:41:31.189],3.52,21.10,3.21,67.64,1029
[00:41:32.313],3.52,21.10,3.22,67.85,1030
[00:41:33.439],3.52,21.10,3.22,67.92,1031
[00:41:34.652],3.52,21.11,3.13,66.06,1032
[00:41:34.711],3.52,21.11,2.26,66.06,1032
[00:41:35.725],3.54,21.26,1.65,35.06,1033
[00:41:35.928],3.53,21.19,2.43,51.45,1033
[00:41:36.125],3.53,21.19,1.88,39.89,1033
[00:41:36.328],3.53,21.20,2.39,50.72,1033
[00:41:37.740],3.52,21.13,2.97,62.86,1034
[00:41:38.952],3.53,21.15,2.78,58.80,1035
[00:41:39.356],3.54,21.24,1.89,40.05,1035
[00:41:40.165],3.55,21.30,1.38,29.49,1036
[00:41:41.373],3.54,21.27,1.90,40.39,1036
[00:41:41.576],3.55,21.32,1.32,28.04,1036
[00:41:42.588],3.54,21.27,1.83,38.87,1037
[00:41:43.599],3.55,21.32,1.32,28.18,1037
[00:41:45.808],3.55,21.33,1.31,27.98,1038
[00:41:47.837],3.54,21.22,2.42,51.38,1039
[00:41:48.237],3.55,21.32,1.46,31.00,1039
[00:41:48.440],3.54,21.24,2.23,47.34,1040
[00:41:48.643],3.55,21.32,1.41,29.96,1040
[00:41:48.845],3.53,21.20,2.64,55.86,1040
[00:41:49.048],3.55,21.27,1.86,39.60,1040
[00:41:49.448],3.56,21.35,1.15,24.49,1040
[00:41:49.650],3.55,21.30,1.66,35.35,1040
[00:41:49.853],3.56,21.36,1.09,23.37,1040
[00:41:50.865],3.55,21.31,1.61,34.37,1041
[00:41:51.669],3.56,21.39,0.88,18.87,1041
[00:41:52.276],3.56,21.34,1.39,29.63,1041
[00:41:53.284],3.57,21.40,0.81,17.29,1041
[00:41:54.093],3.56,21.33,1.47,31.31,1042
[00:41:55.302],3.57,21.41,0.74,15.78,1042
[00:41:55.910],3.56,21.35,1.34,28.57,1042
[00:41:58.402],3.55,21.32,1.65,35.15,1043
[00:41:58.738],3.56,21.37,1.11,23.73,1043
[00:41:59.137],3.55,21.33,1.68,33.17,1043
[00:42:02.008],3.56,21.37,1.21,25.86,1044
[00:42:05.006],3.56,21.37,1.21,25.88,1045
[00:42:07.993],3.56,21.38,1.20,25.58,1046
[00:42:11.021],3.56,21.38,1.18,25.16,1047
[00:42:13.873],3.56,21.38,1.69,35.94,1048
[00:42:14.278],3.57,21.41,0.96,20.65,1049
[00:42:16.300],3.56,21.33,1.76,37.45,1049
[00:42:17.103],3.56,21.37,0.87,28.35,1049
[00:42:20.864],3.57,21.39,1.19,25.36,1050
[00:42:23.729],3.56,21.38,1.31,27.94,1051
[00:42:25.182],3.55,21.32,1.93,41.23,1052
[00:42:27.046],3.55,21.32,1.80,38.32,1053
[00:42:28.799],3.55,21.28,2.20,46.70,1054
[00:42:30.499],3.55,21.28,2.10,44.69,1055
[00:42:32.182],3.55,21.28,2.18,46.28,1056
[00:42:33.883],3.55,21.28,2.13,45.21,1057
[00:42:35.602],3.55,21.28,2.08,44.25,1058
[00:42:37.325],3.55,21.27,2.05,43.71,1059
[00:42:39.054],3.54,21.27,2.06,43.86,1060
[00:42:40.784],3.54,21.27,2.09,44.42,1061
[00:42:42.529],3.54,21.27,2.08,44.13,1062
[00:42:44.357],3.56,21.36,1.16,24.70,1063
[00:42:45.165],3.54,21.26,2.19,46.54,1063
[00:42:45.569],3.53,21.20,2.74,58.17,1064
[00:42:46.843],3.54,21.21,2.48,52.65,1065
[00:42:47.183],3.55,21.28,1.81,38.63,1065
[00:42:49.213],3.55,21.29,1.75,37.17,1066
[00:42:50.412],3.54,21.22,2.43,51.52,1066
[00:42:50.614],3.55,21.33,1.39,29.64,1066
[00:42:50.815],3.54,21.24,2.23,47.17,1067
[00:42:51.017],3.56,21.36,1.07,22.95,1067
[00:42:52.430],3.57,21.43,0.51,10.86,1067
[00:42:57.882],3.56,21.35,1.48,31.63,1068
[00:42:58.283],3.55,21.33,2.05,36.13,1068
[00:42:58.691],3.53,21.21,2.82,59.89,1068
[00:42:59.935],3.53,21.20,2.83,59.89,1069
[00:43:00.507],3.55,21.28,1.97,42.00,1069
[00:43:00.709],3.56,21.36,1.23,26.24,1069
[00:43:02.726],3.57,21.42,0.72,15.44,1070
[00:43:04.341],3.55,21.28,2.08,44.19,1071
[00:43:04.543],3.54,21.21,2.77,58.65,1071
[00:43:04.947],3.50,21.02,4.53,95.24,1071
[00:43:05.149],3.53,21.18,2.93,61.95,1071
[00:43:05.351],3.52,21.12,3.46,73.02,1071
[00:43:05.554],3.54,21.27,2.10,44.56,1072
[00:43:05.755],3.55,21.32,1.55,33.10,1072
[00:43:06.362],3.54,21.27,2.11,44.85,1072
[00:43:07.771],3.54,21.26,2.77,58.65,1073
[00:43:07.973],3.53,21.20,1.04,58.65,1073
[00:43:08.180],3.57,21.40,0.77,16.47,1073
