Timestamp,AvgCell(V),Voltage(V),Current(A),Power(W),Capacity(mAh)
[00:17:38.943],3.67,22.05,1.21,26.64,477
[00:17:42.039],3.68,22.05,1.24,27.35,478
[00:17:43.890],3.67,22.01,2.14,37.77,479
[00:17:44.294],3.65,21.91,2.76,55.85,479
[00:17:44.496],3.65,21.89,2.25,60.39,479
[00:17:45.102],3.67,22.00,1.68,36.94,480
[00:17:46.312],3.67,22.01,3.32,33.53,480
[00:17:46.515],3.64,21.83,2.68,58.64,480
[00:17:46.717],3.66,21.95,2.11,46.31,481
[00:17:47.528],3.67,22.01,1.58,34.73,481
[00:17:48.939],3.68,22.08,0.91,20.11,482
[00:17:50.351],3.66,21.96,2.06,45.17,482
[00:17:50.955],3.67,22.00,1.40,37.48,482
[00:17:53.178],3.66,21.94,2.25,49.43,483
[00:17:53.782],3.66,21.96,1.56,34.29,484
[00:17:55.895],3.66,21.97,1.96,43.10,485
[00:17:56.207],3.65,21.89,2.69,58.79,485
[00:17:56.410],3.67,22.01,1.53,33.63,485
[00:17:56.813],3.66,21.94,2.24,49.18,485
[00:17:58.566],3.66,21.97,1.91,42.01,486
[00:18:00.039],3.66,21.97,2.65,41.36,487
[00:18:00.241],3.65,21.89,2.03,58.06,487
[00:18:01.253],3.67,22.01,1.43,31.44,488
[00:18:02.867],3.68,22.07,0.86,19.01,488
[00:18:03.069],3.67,22.02,1.43,31.45,488
[00:18:03.874],3.67,22.00,1.97,35.47,489
[00:18:04.082],3.67,22.03,1.28,28.14,489
[00:18:04.278],3.67,22.03,1.84,28.14,489
[00:18:04.485],3.67,22.05,1.10,24.15,489
[00:18:05.089],3.66,21.96,1.94,42.62,489
[00:18:06.297],3.66,21.98,1.09,39.06,490
[00:18:07.710],3.68,22.08,0.46,10.14,490
[00:18:08.118],3.67,22.02,1.40,30.82,490
[00:18:08.723],3.68,22.08,0.87,19.22,491
[00:18:11.343],3.68,22.08,1.58,19.66,491
[00:18:12.559],3.65,21.91,2.46,53.85,492
[00:18:13.164],3.66,21.97,1.94,42.59,492
[00:18:14.979],3.66,21.95,2.01,44.03,493
[00:18:15.787],3.63,21.79,3.56,77.53,494
[00:18:16.191],3.64,21.85,2.93,64.07,494
[00:18:16.595],3.65,21.92,2.22,48.65,495
[00:18:17.603],3.64,21.86,2.77,60.46,495
[00:18:18.209],3.65,21.92,2.16,47.44,496
[00:18:19.016],3.63,21.81,3.24,70.63,496
[00:18:19.219],3.65,21.90,2.32,50.74,496
[00:18:20.027],3.66,21.96,1.76,38.66,497
[00:18:20.431],3.65,21.89,2.46,53.88,497
[00:18:21.841],3.65,21.91,1.64,47.27,498
[00:18:22.044],3.65,21.90,2.27,49.60,498
[00:18:22.648],3.65,21.91,1.63,48.80,498
[00:18:22.849],3.66,21.97,2.18,35.86,499
[00:18:23.456],3.65,21.90,1.64,36.07,499
[00:18:23.657],3.66,21.97,2.24,36.07,499
[00:18:24.264],3.65,21.89,1.63,35.84,499
[00:18:24.466],3.66,21.96,2.24,49.11,500
[00:18:25.071],3.65,21.88,1.60,35.04,500
[00:18:25.273],3.65,21.91,2.19,48.08,500
[00:18:25.880],3.66,21.98,1.49,32.81,500
[00:18:26.082],3.65,21.91,2.19,47.93,500
[00:18:26.688],3.66,21.97,1.57,34.51,501
[00:18:26.890],3.65,21.92,2.14,46.96,501
[00:18:27.495],3.66,21.97,1.56,34.17,501
[00:18:27.697],3.65,21.91,2.08,45.65,501
[00:18:29.444],3.65,21.92,2.00,43.80,502
[00:18:30.925],3.66,21.94,2.53,55.31,503
[00:18:31.329],3.64,21.81,3.05,66.40,504
[00:18:32.522],3.63,21.79,3.13,68.23,505
[00:18:33.687],3.63,21.79,3.10,67.58,506
[00:18:34.809],3.63,21.78,3.15,68.54,507
[00:18:35.774],3.60,21.61,4.78,103.32,507
[00:18:35.971],3.60,21.61,3.65,103.32,508
[00:18:36.376],3.62,21.71,2.50,54.51,508
[00:18:36.578],3.63,21.77,3.18,69.19,508
[00:18:36.981],3.63,21.77,2.37,51.85,509
[00:18:38.426],3.64,21.85,2.41,52.70,510
[00:18:38.599],3.66,21.95,1.41,30.85,510
[00:18:39.004],3.64,21.84,2.59,56.63,510
[00:18:39.205],3.65,21.90,1.92,42.13,510
[00:18:39.609],3.64,21.82,2.76,60.24,510
[00:18:39.812],3.65,21.89,2.01,43.92,510
[00:18:40.216],3.64,21.82,2.68,58.47,511
[00:18:40.619],3.65,21.90,2.01,44.09,511
[00:18:41.023],3.63,21.81,2.84,61.86,511
[00:18:41.220],3.63,21.81,2.20,61.86,511
[00:18:41.422],3.64,21.87,3.21,69.78,511
[00:18:41.624],3.62,21.71,3.72,80.80,512
[00:18:42.432],3.64,21.85,2.40,52.37,512
[00:18:42.634],3.63,21.78,3.03,65.82,513
[00:18:43.646],3.64,21.85,2.32,50.73,513
[00:18:44.049],3.63,21.79,2.97,64.63,514
[00:18:44.857],3.62,21.69,3.80,82.45,514
[00:18:45.664],3.63,21.76,3.09,67.29,515
[00:18:46.841],3.63,21.76,3.06,66.68,516
[00:18:47.981],3.62,21.71,3.55,77.10,517
[00:18:48.287],3.63,21.77,2.90,63.02,517
[00:18:48.688],3.62,21.74,3.49,71.09,518
[00:18:48.890],3.62,21.72,2.96,75.75,518
[00:18:50.093],3.63,21.75,3.08,66.97,519
[00:18:50.508],3.63,21.81,2.54,55.49,519
[00:18:50.910],3.65,21.90,1.68,36.85,519
[00:18:52.123],3.66,21.96,1.18,25.97,520
[00:18:55.358],3.66,21.98,1.07,23.45,521
[00:18:56.965],3.66,21.95,1.76,31.95,521
[00:18:57.369],3.66,21.95,1.13,24.75,522
[00:18:57.571],3.66,21.98,1.81,39.66,522
[00:18:57.975],3.66,21.94,1.14,25.09,522
[00:18:58.380],3.65,21.92,1.72,37.72,522
[00:18:58.783],3.66,21.95,1.13,24.73,522
[00:18:58.985],3.65,21.92,1.71,37.54,522
[00:18:59.793],3.64,21.87,2.28,49.79,523
[00:19:01.484],3.64,21.84,2.54,55.38,524
[00:19:01.611],3.65,21.89,1.97,43.05,524
[00:19:02.621],3.66,21.97,1.25,27.52,524
[00:19:03.025],3.64,21.86,2.30,50.23,524
[00:19:04.633],3.65,21.89,1.93,42.26,525
[00:19:04.639],3.64,21.83,2.58,56.26,525
[00:19:04.842],3.65,21.91,1.77,38.85,526
[00:19:05.447],3.66,21.96,1.26,27.63,526
[00:19:08.049],3.66,21.93,1.60,35.15,527
[00:19:08.273],3.67,21.99,1.01,22.23,527
[00:19:08.677],3.65,21.92,1.71,37.46,527
[00:19:09.080],3.67,21.99,1.07,23.47,527
[00:19:09.685],3.66,21.94,1.58,34.66,527
[00:19:10.089],3.67,22.00,1.03,22.61,528
[00:19:10.493],3.66,21.93,1.65,36.27,528
[00:19:11.502],3.66,21.98,1.13,24.77,528
[00:19:14.125],3.65,21.92,1.79,39.12,529
[00:19:14.529],3.66,21.98,1.25,27.41,529
[00:19:17.490],3.66,21.97,1.32,28.99,530
[00:19:20.021],3.66,21.97,1.38,30.24,531
[00:19:22.545],3.66,21.98,1.21,26.59,532
[00:19:25.556],3.67,22.01,0.97,21.33,533
[00:19:25.631],3.66,21.94,1.65,36.26,533
[00:19:26.035],3.67,21.99,1.14,25.00,533
[00:19:26.439],3.66,21.93,1.73,37.88,534
[00:19:28.054],3.66,21.98,1.21,26.58,534
[00:19:28.256],3.65,21.92,1.81,39.67,534
[00:19:29.063],3.66,21.98,1.24,27.29,535
[00:19:29.467],3.65,21.91,1.91,41.86,535
[00:19:31.555],3.66,21.95,1.50,32.97,536
[00:19:33.992],3.66,21.95,1.45,31.80,537
[00:19:34.516],3.65,21.90,2.05,44.90,537
[00:19:36.310],3.65,21.87,2.16,47.17,538
[00:19:36.333],3.64,21.82,2.69,58.76,538
[00:19:37.664],3.64,21.83,2.52,54.98,539
[00:19:37.743],3.64,21.83,2.00,43.82,539
[00:19:37.945],3.63,21.80,2.76,60.04,539
[00:19:38.752],3.64,21.85,2.21,48.28,540
[00:19:39.563],3.66,21.98,0.99,21.70,540
[00:19:39.962],3.66,21.95,1.80,29.14,541
[00:19:40.371],3.66,21.96,1.27,27.78,541
[00:19:41.780],3.65,21.92,2.17,47.34,541
[00:19:42.187],3.66,21.94,1.46,32.10,541
[00:19:43.596],3.65,21.90,2.49,40.85,542
[00:19:44.872],3.63,21.79,2.85,62.03,543
[00:19:45.011],3.61,21.67,4.00,86.63,543
[00:19:45.212],3.62,21.73,3.38,73.40,543
[00:19:45.816],3.63,21.77,2.39,62.92,544
[00:19:46.426],3.65,21.90,1.63,35.73,544
[00:19:48.818],3.65,21.93,1.46,32.00,545
[00:19:49.858],3.67,22.03,0.53,11.62,546
[00:19:50.260],3.66,21.95,1.32,28.93,546
[00:19:52.996],3.66,21.96,1.22,26.85,547
[00:19:53.692],3.67,22.02,0.71,15.54,547
[00:19:54.497],3.66,21.97,1.21,26.29,547
[00:19:57.592],3.66,21.96,1.28,28.09,548
[00:19:57.932],3.67,22.01,0.77,17.00,548
[00:19:58.336],3.66,21.96,1.31,28.76,548
[00:19:58.943],3.65,21.89,1.90,41.50,549
[00:20:00.355],3.66,21.96,1.23,26.90,549
[00:20:02.980],3.65,21.89,1.92,41.95,550
[00:20:04.392],3.64,21.83,2.46,53.74,551
[00:20:04.796],3.65,21.89,1.89,41.28,551
[00:20:06.485],3.64,21.86,2.10,45.92,552
[00:20:08.227],3.66,21.93,1.40,30.76,553
[00:20:09.033],3.67,22.00,0.78,17.06,554
[00:20:09.843],3.66,21.93,1.44,31.60,554
[00:20:11.251],3.66,21.94,2.27,29.62,554
[00:20:11.660],3.63,21.78,2.81,61.13,555
[00:20:12.667],3.64,21.84,2.19,47.90,555
[00:20:14.079],3.65,21.91,1.50,32.95,556
[00:20:16.264],3.65,21.93,1.35,29.52,557
[00:20:16.299],3.64,21.85,2.13,46.58,557
[00:20:17.914],3.64,21.83,1.59,34.74,558
[00:20:18.317],3.66,21.94,0.92,20.11,558
[00:20:20.543],3.65,21.87,1.91,41.75,559
[00:20:20.941],3.65,21.91,0.95,33.97,559
[00:20:21.956],3.65,21.92,1.46,31.91,560
[00:20:24.401],3.65,21.90,1.65,36.17,561
[00:20:24.575],3.65,21.90,1.12,36.17,561
[00:20:24.979],3.65,21.91,1.73,37.77,561
[00:20:25.382],3.65,21.90,1.19,36.20,561
[00:20:26.800],3.65,21.88,1.80,39.43,562
[00:20:27.001],3.66,21.94,1.25,27.49,562
[00:20:30.038],3.66,21.95,1.19,26.01,563
[00:20:34.166],3.67,21.99,0.84,18.41,564
[00:20:38.489],3.67,22.00,0.83,18.30,565
[00:20:42.833],3.67,22.00,0.83,18.24,566
[00:20:45.372],3.66,21.94,1.42,31.16,566
[00:20:47.936],3.65,21.93,1.50,32.80,567
[00:20:50.605],3.66,21.96,1.15,25.16,568
[00:20:53.164],3.65,21.92,1.54,33.72,569
[00:20:55.258],3.66,21.95,0.95,27.02,570
[00:20:59.309],3.67,22.01,0.66,14.42,571
[00:20:59.500],3.66,21.96,1.18,25.86,571
[00:20:59.701],3.62,21.74,3.36,73.07,571
[00:20:59.902],3.61,21.65,4.18,90.45,572
[00:21:00.306],3.63,21.77,2.93,63.73,572
[00:21:00.710],3.65,21.91,1.52,33.38,572
[00:21:00.911],3.65,21.91,0.82,17.92,572
[00:21:05.151],3.63,21.76,3.14,68.06,573
[00:21:05.353],3.61,21.66,4.04,87.46,573
[00:21:05.554],3.60,21.60,4.64,100.21,574
[00:21:05.957],3.60,21.62,3.16,68.61,574
[00:21:06.163],3.63,21.81,2.45,53.38,574
[00:21:06.565],3.65,21.88,1.73,37.91,574
[00:21:07.169],3.66,21.95,1.11,24.33,575
[00:21:07.775],3.63,21.80,2.66,57.78,575
[00:21:07.979],3.60,21.59,4.59,99.03,575
[00:21:08.177],3.60,21.59,3.40,99.03,575
[00:21:08.379],3.62,21.71,2.84,73.82,575
[00:21:08.582],3.63,21.76,0.93,20.36,575
[00:21:08.789],3.67,22.01,0.48,10.47,576
[00:21:14.259],3.67,22.01,0.67,14.82,577
[00:21:14.842],3.65,21.89,1.87,40.82,577
[00:21:16.599],3.64,21.85,2.03,44.45,578
[00:21:18.305],3.64,21.83,2.24,49.00,579
[00:21:19.080],3.65,21.93,1.21,26.57,579
[00:21:21.298],3.66,21.98,0.65,16.51,580
[00:21:21.503],3.65,21.90,1.55,33.70,580
[00:21:21.705],3.61,21.67,3.85,83.30,580
[00:21:22.311],3.62,21.72,3.22,69.91,581
[00:21:22.513],3.63,21.78,2.55,55.51,581
[00:21:22.917],3.65,21.88,1.58,34.64,581
[00:21:23.321],3.66,21.96,0.85,18.73,581
[00:21:29.200],3.67,21.99,0.75,16.54,582
[00:21:31.798],3.65,21.91,1.59,34.61,583
[00:21:32.002],3.61,21.65,4.09,88.61,583
[00:21:32.402],3.62,21.70,3.50,75.97,583
[00:21:32.604],3.63,21.76,2.82,61.27,583
[00:21:33.008],3.65,21.90,1.47,32.13,584
[00:21:33.413],3.66,21.98,0.71,15.65,584
[00:21:38.259],3.64,21.81,2.50,54.35,585
[00:21:38.462],3.62,21.71,3.43,74.36,585
[00:21:38.664],3.63,21.78,2.67,58.25,585
[00:21:38.865],3.60,21.57,4.71,101.68,585
[00:21:39.067],3.62,21.69,3.49,75.74,586
[00:21:39.668],3.62,21.72,2.36,70.95,586
[00:21:39.871],3.63,21.80,2.99,64.90,586
[00:21:40.476],3.62,21.75,1.91,61.72,587
[00:21:41.082],3.65,21.89,2.45,53.42,587
[00:21:41.687],3.62,21.74,3.13,63.64,587
[00:21:42.794],3.61,21.69,3.38,73.40,588
[00:21:43.105],3.63,21.76,2.56,55.60,589
[00:21:43.302],3.63,21.76,1.59,55.60,589
[00:21:43.503],3.64,21.86,1.07,34.73,589
[00:21:48.038],3.66,21.97,0.71,15.62,590
[00:21:53.315],3.66,21.99,0.66,14.58,591
[00:21:59.019],3.67,22.00,0.60,13.21,592
[00:22:05.044],3.67,22.01,0.60,13.19,593
[00:22:10.911],3.67,22.01,0.60,13.25,594
[00:22:16.807],3.67,22.01,0.59,12.93,595
[00:22:22.673],3.67,22.01,0.63,13.82,596
[00:22:28.520],3.67,22.01,0.61,13.33,597
[00:22:34.374],3.67,22.01,0.62,13.97,598
[00:22:40.222],3.67,22.01,0.63,13.82,599
[00:22:46.053],3.67,22.01,0.61,13.47,600
[00:22:51.929],3.67,22.02,0.59,13.10,601
[00:22:57.618],3.66,21.97,1.03,22.73,602
[00:22:57.791],3.66,21.97,2.23,48.73,602
[00:22:59.206],3.63,21.75,3.02,65.64,603
[00:23:00.014],3.64,21.83,2.12,46.32,603
[00:23:01.449],3.63,21.79,2.49,54.35,604
[00:23:02.436],3.64,21.86,1.74,37.95,605
[00:23:02.638],3.63,21.77,2.62,56.91,605
[00:23:03.245],3.64,21.84,1.84,40.21,606
[00:23:03.442],3.64,21.84,2.62,40.21,606
[00:23:04.250],3.63,21.77,2.07,45.21,606
[00:23:04.453],3.63,21.75,2.73,59.33,606
[00:23:04.656],3.64,21.84,1.83,39.94,607
[00:23:04.859],3.63,21.76,2.57,55.95,607
[00:23:06.071],3.64,21.83,1.84,40.08,608
[00:23:06.274],3.63,21.75,2.63,57.12,608
[00:23:07.482],3.64,21.81,1.99,43.34,608
[00:23:07.685],3.62,21.73,2.84,61.75,609
[00:23:07.886],3.63,21.81,2.06,44.81,609
[00:23:08.087],3.62,21.74,2.70,58.58,609
[00:23:08.290],3.63,21.81,2.10,45.68,609
[00:23:09.100],3.62,21.74,2.68,58.31,610
[00:23:09.302],3.63,21.80,2.12,46.18,610
[00:23:09.504],3.62,21.74,2.71,58.84,610
[00:23:09.701],3.62,21.74,1.94,42.32,610
[00:23:09.903],3.64,21.81,2.65,57.47,610
[00:23:11.117],3.64,21.81,1.92,41.89,611
[00:23:11.320],3.62,21.74,2.57,55.83,611
[00:23:12.526],3.62,21.74,1.93,53.85,612
[00:23:12.729],3.62,21.72,2.79,60.60,612
[00:23:12.931],3.63,21.80,2.01,43.89,612
[00:23:13.133],3.62,21.74,2.58,56.09,612
[00:23:14.537],3.63,21.78,2.17,47.12,613
[00:23:14.549],3.62,21.72,2.72,59.04,613
[00:23:14.954],3.63,21.77,2.11,45.96,613
[00:23:15.150],3.63,21.77,2.70,45.96,614
[00:23:16.560],3.62,21.74,2.46,53.46,615
[00:23:17.947],3.63,21.77,2.12,46.17,616
[00:23:17.977],3.63,21.77,2.67,46.17,616
[00:23:19.392],3.62,21.74,2.37,51.35,617
[00:23:20.401],3.61,21.68,2.87,62.24,617
[00:23:20.602],3.63,21.76,2.03,44.09,617
[00:23:20.805],3.62,21.72,2.57,55.78,618
[00:23:22.220],3.62,21.73,2.34,50.81,619
[00:23:22.623],3.61,21.67,2.98,64.44,619
[00:23:22.826],3.62,21.73,2.35,50.94,619
[00:23:23.023],3.62,21.73,2.94,50.94,619
[00:23:23.428],3.62,21.74,2.15,46.74,620
[00:23:24.641],3.61,21.69,2.73,59.18,620
[00:23:25.651],3.63,21.75,2.09,45.50,621
[00:23:25.854],3.61,21.69,2.74,59.34,621
[00:23:26.253],3.61,21.68,2.11,59.28,622
[00:23:26.455],3.63,21.75,2.67,45.80,622
[00:23:27.865],3.62,21.70,2.61,56.56,623
[00:23:29.246],3.62,21.74,2.17,47.17,624
[00:23:29.281],3.62,21.74,2.68,47.17,624
[00:23:30.656],3.61,21.69,2.64,57.17,625
[00:23:31.303],3.62,21.73,2.11,45.86,625
[00:23:31.506],3.61,21.66,2.83,61.23,625
[00:23:31.910],3.62,21.72,2.29,49.80,626
[00:23:32.107],3.62,21.72,2.81,49.80,626
[00:23:33.442],3.61,21.68,2.67,57.93,627
[00:23:34.130],3.62,21.73,2.14,46.54,627
[00:23:34.332],3.61,21.65,2.97,64.30,627
[00:23:34.731],3.61,21.65,2.24,63.56,628
[00:23:34.934],3.61,21.66,2.77,60.06,628
[00:23:36.285],3.61,21.68,2.56,55.39,629
[00:23:37.643],3.62,21.71,2.31,50.13,630
[00:23:37.966],3.61,21.65,2.81,60.87,630
[00:23:39.332],3.62,21.70,2.34,50.69,631
[00:23:39.582],3.61,21.64,2.95,63.82,631
[00:23:39.778],3.61,21.64,2.22,48.10,631
[00:23:39.981],3.62,21.71,2.96,64.01,632
[00:23:40.385],3.62,21.70,2.26,48.93,632
[00:23:40.588],3.61,21.65,2.81,60.75,632
[00:23:41.934],3.61,21.67,2.61,56.56,633
[00:23:43.270],3.62,21.70,2.26,49.09,634
[00:23:43.413],3.61,21.64,2.86,61.87,634
[00:23:44.743],3.61,21.66,2.63,57.02,635
[00:23:46.083],3.61,21.69,2.34,50.64,636
[00:23:46.239],3.61,21.63,2.87,61.95,636
[00:23:47.585],3.61,21.64,2.66,57.46,637
[00:23:48.925],3.62,21.69,2.21,47.83,638
[00:23:49.064],3.62,21.69,2.82,47.83,638
[00:23:50.392],3.61,21.64,2.73,59.10,639
[00:23:51.086],3.62,21.70,2.14,46.34,640
[00:23:51.288],3.60,21.61,2.95,63.72,640
[00:23:51.692],3.61,21.68,2.25,48.83,640
[00:23:51.895],3.60,21.62,2.82,60.85,640
[00:23:53.236],3.61,21.64,2.64,57.04,641
[00:23:54.528],3.60,21.63,2.78,60.19,642
[00:23:55.123],3.61,21.68,2.19,47.41,643
[00:23:56.642],3.61,21.68,2.21,47.84,644
[00:23:58.185],3.61,21.66,2.45,53.11,645
[00:23:59.686],3.61,21.65,2.51,54.33,646
[00:24:00.368],3.61,21.64,1.90,57.70,646
[00:24:00.570],3.62,21.71,2.63,56.94,646
[00:24:01.783],3.62,21.71,1.93,41.87,647
[00:24:01.985],3.60,21.63,2.76,59.56,647
[00:24:02.390],3.62,21.69,2.13,46.19,648
[00:24:03.904],3.62,21.69,2.16,46.89,649
[00:24:05.382],3.62,21.71,1.92,41.58,650
[00:24:05.417],3.60,21.62,2.84,61.48,650
[00:24:05.619],3.61,21.67,2.30,49.90,650
[00:24:07.115],3.61,21.67,2.29,49.68,651
[00:24:07.837],3.61,21.65,2.82,53.90,651
[00:24:08.040],3.62,21.70,1.97,42.70,651
[00:24:08.243],3.60,21.62,2.81,60.77,652
[00:24:09.456],3.62,21.69,2.11,45.75,652
[00:24:09.659],3.60,21.63,2.66,57.54,653
[00:24:11.085],3.60,21.63,2.66,57.51,654
[00:24:11.472],3.61,21.69,2.05,44.41,654
[00:24:11.675],3.60,21.61,2.80,60.39,654
[00:24:12.886],3.62,21.70,1.97,42.67,655
[00:24:13.089],3.60,21.61,2.80,60.58,655
[00:24:14.302],3.61,21.69,2.06,44.56,656
[00:24:14.499],3.61,21.69,2.79,60.22,656
[00:24:15.711],3.61,21.68,2.14,46.38,657
[00:24:15.913],3.60,21.62,2.68,57.94,657
[00:24:16.319],3.61,21.67,2.13,46.21,657
[00:24:16.521],3.60,21.62,2.68,57.97,657
[00:24:17.729],3.60,21.62,2.04,57.86,658
[00:24:17.932],3.60,21.60,2.84,61.40,658
[00:24:19.145],3.62,21.70,1.96,42.44,659
[00:24:19.348],3.60,21.61,2.75,59.45,659
[00:24:20.556],3.61,21.68,2.00,43.39,660
[00:24:20.759],3.60,21.60,2.80,60.50,660
[00:24:21.163],3.61,21.65,2.29,49.46,661
[00:24:21.769],3.60,21.60,2.83,61.10,661
[00:24:21.972],3.61,21.67,2.11,45.64,661
[00:24:22.169],3.61,21.67,2.79,45.64,661
[00:24:22.574],3.61,21.67,2.16,46.87,662
[00:24:22.776],3.60,21.60,2.78,60.02,662
[00:24:23.383],3.61,21.67,2.14,46.38,662
[00:24:23.585],3.60,21.62,2.66,57.45,662
[00:24:23.989],3.61,21.67,2.11,45.68,663
[00:24:24.192],3.60,21.59,2.90,62.67,663
[00:24:24.794],3.60,21.62,2.33,56.35,663
[00:24:25.603],3.60,21.59,2.83,61.10,664
[00:24:26.816],3.61,21.67,2.08,45.13,664
[00:24:27.017],3.60,21.59,2.90,62.53,665
[00:24:27.821],3.60,21.60,2.37,57.83,665
[00:24:29.254],3.61,21.64,2.36,50.96,666
[00:24:30.657],3.61,21.63,2.42,52.36,667
[00:24:32.034],3.60,21.58,2.92,62.92,668
[00:24:33.074],3.61,21.67,1.97,42.73,669
[00:24:33.276],3.60,21.59,2.84,61.18,669
[00:24:33.676],3.60,21.61,2.32,54.58,669
[00:24:34.688],3.60,21.59,2.83,61.13,670
[00:24:35.093],3.61,21.65,2.18,47.22,670
[00:24:35.296],3.60,21.58,2.85,61.46,671
[00:24:35.493],3.60,21.58,2.23,61.46,671
[00:24:36.705],3.60,21.59,2.79,60.31,671
[00:24:37.919],3.61,21.66,2.02,43.70,672
[00:24:38.122],3.60,21.58,2.88,62.08,672
[00:24:39.330],3.61,21.66,2.05,44.46,673
[00:24:39.532],3.60,21.58,2.84,61.36,673
[00:24:40.741],3.60,21.57,2.12,62.11,674
[00:24:40.943],3.61,21.65,2.83,45.85,674
[00:24:41.348],3.61,21.63,2.30,49.80,675
[00:24:41.550],3.59,21.57,2.94,63.38,675
[00:24:41.753],3.60,21.62,2.41,52.13,675
[00:24:43.152],3.59,21.57,2.88,61.98,676
[00:24:43.164],3.60,21.62,2.36,51.01,676
[00:24:44.378],3.59,21.56,2.96,63.79,677
[00:24:45.586],3.60,21.57,1.98,61.07,678
[00:24:45.789],3.59,21.57,2.89,62.30,678
[00:24:46.191],3.60,21.60,2.36,54.33,678
[00:24:46.797],3.60,21.62,2.90,62.42,679
[00:24:47.000],3.61,21.66,1.91,41.24,679
[00:24:47.202],3.60,21.58,2.78,60.05,679
[00:24:47.607],3.61,21.63,2.24,48.48,679
[00:24:47.810],3.60,21.57,2.78,59.87,679
[00:24:48.412],3.60,21.57,2.23,48.24,680
[00:24:48.817],3.60,21.57,2.84,61.23,680
[00:24:49.019],3.61,21.64,2.14,46.34,680
[00:24:49.222],3.59,21.57,2.85,61.51,680
[00:24:49.825],3.60,21.58,2.30,57.67,681
[00:24:50.229],3.60,21.59,2.86,55.98,681
[00:24:50.432],3.61,21.65,2.00,43.28,681
[00:24:50.634],3.59,21.57,2.88,62.11,681
[00:24:51.847],3.61,21.65,1.99,43.03,682
[00:24:52.050],3.59,21.57,2.80,60.34,682
[00:24:53.258],3.61,21.65,1.94,41.99,683
[00:24:53.460],3.60,21.58,2.67,57.53,683
[00:24:54.758],3.59,21.56,2.77,59.73,684
[00:24:56.074],3.60,21.57,2.73,58.89,685
[00:24:57.410],3.60,21.57,2.66,57.49,686
[00:24:58.749],3.60,21.57,2.71,58.37,687
[00:25:00.098],3.60,21.57,2.69,57.93,688
[00:25:01.465],3.59,21.57,2.67,57.54,689
[00:25:02.543],3.61,21.66,1.78,38.61,690
[00:25:03.150],3.60,21.58,2.62,56.44,690
[00:25:04.365],3.61,21.66,1.82,39.37,691
[00:25:04.767],3.59,21.56,2.84,61.14,691
[00:25:05.167],3.59,21.51,2.33,69.04,692
[00:25:05.774],3.58,21.51,3.28,70.54,692
[00:25:05.977],3.60,21.59,2.39,51.64,692
[00:25:06.585],3.58,21.49,3.39,72.94,693
[00:25:06.782],3.58,21.49,2.84,72.94,693
[00:25:06.985],3.60,21.61,2.28,49.21,693
[00:25:07.388],3.60,21.60,2.85,61.48,693
[00:25:07.793],3.61,21.63,1.99,43.02,694
[00:25:08.198],3.59,21.52,3.05,65.56,694
[00:25:08.602],3.60,21.59,2.39,51.67,694
[00:25:09.203],3.60,21.57,3.35,55.01,695
[00:25:09.406],3.58,21.49,2.73,58.76,695
[00:25:09.610],3.60,21.63,2.03,43.92,695
[00:25:09.811],3.59,21.57,2.64,56.87,695
[00:25:10.014],3.58,21.48,3.52,75.61,695
[00:25:10.217],3.59,21.53,2.99,64.24,696
[00:25:10.420],3.60,21.60,2.32,50.06,696
[00:25:10.819],3.59,21.53,2.92,62.87,696
[00:25:11.225],3.60,21.61,2.20,47.62,696
[00:25:11.629],3.59,21.52,3.15,67.86,697
[00:25:12.035],3.60,21.57,2.52,54.39,697
[00:25:12.635],3.59,21.56,3.40,56.83,697
[00:25:12.838],3.59,21.54,2.82,60.70,698
[00:25:13.041],3.60,21.62,2.07,44.66,698
[00:25:13.447],3.58,21.47,3.48,74.77,698
[00:25:13.851],3.60,21.59,2.31,49.89,698
[00:25:14.251],3.60,21.59,2.94,63.30,699
[00:25:14.657],3.60,21.60,2.28,49.15,699
[00:25:15.061],3.58,21.51,3.17,68.21,699
[00:25:15.461],3.58,21.46,2.60,76.90,700
[00:25:16.069],3.58,21.48,3.40,72.91,700
[00:25:16.473],3.60,21.61,2.09,45.24,700
[00:25:16.879],3.58,21.47,3.52,75.49,701
[00:25:17.278],3.58,21.49,2.31,69.62,701
[00:25:17.682],3.60,21.58,2.96,51.89,701
[00:25:18.087],3.60,21.59,2.29,49.45,702
[00:25:18.493],3.58,21.50,3.11,66.88,702
[00:25:19.095],3.59,21.55,2.32,56.82,702
[00:25:19.501],3.58,21.48,3.38,72.61,703
[00:25:19.906],3.60,21.61,2.09,45.23,703
[00:25:20.310],3.57,21.45,3.56,76.43,703
[00:25:20.710],3.58,21.48,2.34,70.80,704
[00:25:21.115],3.58,21.51,3.02,65.00,704
[00:25:21.520],3.60,21.57,2.37,51.03,704
[00:25:21.925],3.58,21.50,3.17,68.10,705
[00:25:22.527],3.59,21.54,2.37,51.13,705
[00:25:22.932],3.58,21.47,3.45,74.03,705
[00:25:23.338],3.60,21.60,2.13,45.97,706
[00:25:23.743],3.58,21.45,3.60,77.19,706
[00:25:24.141],3.58,21.46,2.33,75.54,706
[00:25:24.546],3.59,21.57,2.95,63.51,707
[00:25:24.749],3.57,21.45,3.55,76.04,707
[00:25:24.952],3.59,21.56,2.42,52.27,707
[00:25:25.357],3.58,21.50,3.05,65.63,707
[00:25:25.559],3.57,21.44,3.66,78.35,707
